"Date","Price","Open","High","Low","Change %"
"10/01/1998","16.280","16.280","16.280","16.280","-9.66%"
"09/01/1998","18.020","18.020","18.020","18.020","-10.97%"
"08/01/1998","20.240","20.240","20.240","20.240","28.47%"
"07/01/1998","15.755","15.755","15.755","15.755","2.14%"
"06/01/1998","15.425","15.425","15.425","15.425","9.24%"
"05/01/1998","14.120","14.120","14.120","14.120","8.08%"
"04/01/1998","13.065","13.065","13.065","13.065","-1.77%"
"03/01/1998","13.300","13.300","13.300","13.300","-1.41%"
"02/01/1998","13.490","13.490","13.490","13.490","-2.03%"
"01/01/1998","13.770","13.770","13.770","13.770","-3.77%"
"12/01/1997","14.310","14.310","14.310","14.310","-1.31%"
"11/01/1997","14.500","14.500","14.500","14.500","4.54%"
"10/01/1997","13.870","13.870","13.870","13.870","-3.75%"
"06/01/1997","14.410","14.410","14.410","14.410","-3.74%"
"05/01/1997","14.970","14.970","14.970","14.970","0.40%"
"04/01/1997","14.910","14.910","14.910","14.910","-2.61%"
"03/01/1997","15.310","15.310","15.310","15.310","1.32%"
"02/01/1997","15.110","15.110","15.110","15.110","-1.69%"
"01/01/1997","15.370","15.370","15.370","15.370","-5.53%"
"12/01/1996","16.270","16.270","16.270","16.270","0.93%"
"11/01/1996","16.120","16.120","16.120","16.120","-0.62%"
"10/01/1996","16.220","16.220","16.220","16.220","4.58%"
"09/01/1996","15.510","15.510","15.510","15.510","-0.06%"
"08/01/1996","15.520","15.520","15.520","15.520","-2.14%"
"07/01/1996","15.860","15.860","15.860","15.860","5.80%"
"06/01/1996","14.990","14.990","14.990","14.990","-7.41%"
"05/01/1996","16.190","16.190","16.190","16.190","0.19%"
"04/01/1996","16.160","16.160","16.160","16.160","5.97%"
"03/01/1996","15.250","15.250","15.250","15.250","4.10%"
"02/01/1996","14.650","14.650","14.650","14.650","6.86%"
"01/01/1996","13.710","13.710","13.710","13.710","-4.13%"
"12/01/1995","14.300","14.300","14.300","14.300","-1.24%"
"11/01/1995","14.480","14.480","14.480","14.480","-2.62%"
"10/01/1995","14.870","14.870","14.870","14.870","-1.78%"
"09/01/1995","15.140","15.140","15.140","15.140","-3.20%"
"08/01/1995","15.640","15.640","15.640","15.640","-4.75%"
"07/01/1995","16.420","16.420","16.420","16.420","-1.62%"
"06/01/1995","16.690","16.690","16.690","16.690","-1.53%"
